,State,Year,TotalBallots,PercentVotingEligibleVotes,PercentBachelors,Income,PercentWhite,AverageAge,Presidential,YearsSince2000
379,Michigan,2014,3188956.0,43.18762376,27.4,65.28,76.0,39.37364578,0,14
380,Minnesota,2014,1992613.0,50.63663862,34.3,84.41,81.47,38.41043824,0,14
382,Missouri,2014,1509025.0,33.58073775,27.5,71.09,80.15,38.91816292,0,14
383,Montana,2014,373831.0,47.45565841,29.3,64.15,86.98,40.08362685,0,14
384,Nebraska,2014,552115.0,41.37388128,29.5,71.39,80.61,37.740034,0,14
385,Nevada,2014,552546.0,29.585188610000003,23.1,62.61,51.370000000000005,38.25579565,0,14
386,New Hampshire,2014,495565.0,48.30717972,35.0,92.14,91.32000000000001,40.68332686,0,14
387,New Jersey,2014,1955042.0,32.50749444,37.4,81.9,56.75,39.04709806,0,14
389,New York,2014,3930310.0,28.9986458,34.5,68.18,56.38999999999999,39.00690036,0,14
390,North Carolina,2014,2939767.0,41.15166894,28.7,58.73,64.14,38.69052933,0,14
391,North Dakota,2014,255128.0,44.97858859,27.4,76.24,86.99,37.77936194,0,14
392,Ohio,2014,3149876.0,36.2002992,26.6,62.32,80.25999999999999,39.25491779,0,14
393,Oklahoma,2014,825607.0,29.96659638,24.2,59.25,67.16,37.82098947,0,14
394,Oregon,2014,1541782.0,53.39473326,30.8,73.91,77.03999999999999,39.83589572,0,14
395,Pennsylvania,2014,3535576.0,36.48876912,29.0,69.26,78.10000000000001,40.29923189,0,14
396,Rhode Island,2014,329212.0,42.40859683,30.4,73.6,74.14,39.98865542,0,14
397,South Carolina,2014,1261611.0,35.19667253,26.3,56.4,64.08,39.35812849,0,14
398,South Dakota,2014,282291.0,44.73786389,27.8,66.6,83.55,38.12658228,0,14
399,Tennessee,2014,1430117.0,29.79735704,25.3,54.88,74.77000000000001,38.88763569,0,14
401,Utah,2014,577973.0,30.32703834,31.1,79.57,79.41,33.29680476,0,14
402,Vermont,2014,202445.0,40.82507199,34.9,76.21,93.43,41.51416667,0,14
403,Virginia,2014,2194346.0,36.802720220000005,36.7,83.05,63.1,38.47897827,0,14
404,Washington,2014,2124330.0,43.10378587,33.1,74.15,70.34,38.55189035,0,14
405,West Virginia,2014,462864.0,31.97343008,19.2,49.65,92.94,41.1970864,0,14
406,Wisconsin,2014,2422248.0,56.85458289,28.4,72.91,82.42,39.2034228,0,14
407,Wyoming,2014,171153.0,39.670726,26.6,69.91,84.28999999999999,38.20650836,0,14
408,Alabama,2016,2134061.0,59.124320149999996,24.7,58.8,66.0,39.38417792,1,16
409,Alaska,2016,321271.0,61.4662154,29.6,94.29,61.44,35.82459085,1,16
410,Arizona,2016,2661497.0,56.14605374,28.9,71.1,55.54,39.06476948,1,16
411,Arkansas,2016,1137772.0,53.164506089999996,22.4,57.17,73.04,38.93496581,1,16
412,California,2016,14610509.0,58.19796769,32.9,82.98,37.51,37.86048998,1,16
413,Colorado,2016,2859216.0,71.94073075,39.9,87.87,68.71000000000001,38.12443267,1,16
414,Connecticut,2016,1675955.0,64.89005370999999,38.6,94.54,67.58999999999999,40.20775735,1,16
415,Delaware,2016,445228.0,64.36535014,31.0,72.28,62.949999999999996,40.54603484,1,16
416,District of Columbia,2016,312575.0,60.66496134,56.8,88.39,35.92,37.76412166,1,16
417,Florida,2016,9580489.0,65.61499687999999,28.6,63.73,54.690000000000005,41.6794579,1,16
418,Georgia,2016,4165405.0,59.84809115,30.5,66.65,53.39,37.53822618,1,16
419,Hawaii,2016,437664.0,43.21071027,31.9,89.82,21.099999999999998,40.20753334,1,16
420,Idaho,2016,710545.0,60.90180388,27.6,70.44,82.54,37.79535954,1,16
421,Illinois,2016,5666118.0,63.05886087,34.0,76.44,61.8,38.6511304,1,16
422,Indiana,2016,2807676.0,57.890978790000005,25.6,69.85,79.75,38.50530211,1,16
