,State,Year,TotalBallots,VotingEligiblePopulation,VotingAgePopulation,PercentVotingEligibleVotes,PercentVotingAgeVotes,PercentBachelors,Income,PercentWhite,AverageAge,Population,LandAreaSQM,PopulationDensity,Presidential
105,Arizona,2014,1537671.0,4510186,5119512,0.3409329460026704,0.3003549947729393,27.6,61830,0.5639,38.502989536621826,6732.87,113594,59.27135236015987,False
106,Arkansas,2014,852642.0,2117881,2262057,0.40259202476437533,0.37693214627217614,21.4,56390,0.736,38.618125,2968.76,52035,57.053137311425004,False
107,California,2014,7513972.0,24440416,29677092,0.30744042981919784,0.25319097976311156,31.7,75930,0.3827,37.36118015038861,38586.71,155779,247.70161575051836,False
108,Connecticut,2014,1096556.0,2577311,2828562,0.4254651456498653,0.38767260537333104,38.0,88080,0.6879,39.801919319618435,3595.7,4842,742.606361007848,False
109,Delaware,2014,238110.0,681526,733971,0.34937771999894357,0.3244133623808025,30.6,72210,0.6389,39.74616149342759,933.131,1949,478.77424320164187,False
110,District of Columbia,2014,177176.0,495899,548623,0.3572824304949193,0.3229467229773451,55.0,85710,0.3536,37.714995990376906,663.603,61,10878.737704918032,False
111,Florida,2014,6026802.0,13914216,15945404,0.4331398908856956,0.3779648355099689,27.3,57920,0.5566,41.235195125340304,19853.88,53625,370.23552447552447,False
112,Georgia,2014,2596947.0,6725041,7629263,0.38616076838788044,0.3403929055794773,29.1,62210,0.5448,37.03651625157001,10071.2,57513,175.11171387338516,False
113,Hawaii,2014,369554.0,1012123,1112282,0.36512755860700724,0.3322484765554059,31.0,89410,0.2165,39.74052370002225,1415.34,6423,220.35497431106958,False
114,Idaho,2014,445307.0,1119882,1205335,0.3976374296577675,0.36944666835361123,25.0,67080,0.8287,37.32824618463848,1632.25,82643,19.750614087097517,False
115,Illinois,2014,3680417.0,9028752,9895610,0.40763297075830635,0.3719242169002214,32.8,68940,0.6233,38.15834486928573,12885.09,55519,232.0843314901205,False
116,Indiana,2014,1387622.0,4829510,5018794,0.28732148810127733,0.27648514762709925,24.7,60330,0.8045,38.197284982854995,6596.02,35826,184.11265561324177,False
117,Iowa,2014,1142284.0,2269179,2381863,0.5033908739680739,0.4795758614160428,27.7,72570,0.873,38.93717730921688,3110.64,55857,55.689349589129385,False
118,Kansas,2014,887023.0,2048164,2180860,0.43308201882271147,0.4067308309565951,31.5,67090,0.7699,37.59298395417512,2901.86,81759,35.492850939957684,False
119,Louisiana,2014,1503975.0,3349433,3541411,0.4490237601408955,0.4246824217804711,22.9,53230,0.5959,37.63295996451148,4645.94,43204,107.53495046754931,False
120,Maine,2014,616996.0,1051557,1070535,0.5867451788157941,0.5763436038989851,29.4,64910,0.9381,42.15025506260628,1331.22,30843,43.1611710923062,False
121,Massachusetts,2014,2186789.0,4896296,5381878,0.4466210784642105,0.40632452092002086,41.2,79280,0.7396,39.61682932452163,6764.86,7800,867.2897435897436,False
122,Michigan,2014,3188956.0,7383958,7696494,0.43187623764923905,0.4143387885444983,27.4,65280,0.76,39.37364578061904,9932.03,56539,175.66688480517874,False
123,Minnesota,2014,1992613.0,3935121,4179744,0.5063663861924449,0.47673087155576993,34.3,84410,0.8147,38.410438241032566,5452.67,79627,68.47765205269569,False
124,Montana,2014,373831.0,787748,797527,0.47455658408526585,0.46873773552494147,29.3,64150,0.8698,40.083626849149645,1022.66,145546,7.026369670069943,False
125,Nebraska,2014,552115.0,1334453,1416500,0.4137388128319244,0.3897740910695376,29.5,71390,0.8061,37.740033996819655,1879.96,76824,24.47099864625638,False
126,Nevada,2014,552546.0,1867644,2184884,0.2958518861196245,0.2528948905296574,23.1,62610,0.5137,38.255795649685176,2818.94,109781,25.677849536805095,False
127,New Hampshire,2014,495565.0,1025862,1063539,0.4830717971812973,0.46595846508684685,35.0,92140,0.9132,40.683326855810336,1334.26,8953,149.02937562828103,False
128,New Mexico,2014,,1449503,1582259,,,26.4,58610,0.387,38.36578779398046,2090.24,121298,17.23227093604181,False
129,North Carolina,2014,2939767.0,7143737,7689105,0.4115166893742029,0.38232889263444836,28.7,58730,0.6414,38.69052933176925,9937.3,48618,204.39549138179274,False
130,Ohio,2014,3149876.0,8701243,8961449,0.36200299198631736,0.3514918178968602,26.6,62320,0.8026,39.2549177927828,11606.57,40861,284.0500721959815,False
131,Oklahoma,2014,825607.0,2755091,2928877,0.29966596384656624,0.28188517305438227,24.2,59250,0.6716,37.82098946526204,3879.19,68595,56.552081055470516,False
132,Oregon,2014,1541782.0,2887517,3118999,0.5339473326044487,0.49431949160612104,30.8,73910,0.7704,39.835895721925134,3965.45,95988,41.31193482518648,False
133,Rhode Island,2014,329212.0,776286,843570,0.42408596831580114,0.3902604407458776,30.4,73600,0.7414,39.98865542073592,1056.51,1034,1021.7698259187621,False
134,South Carolina,2014,1261611.0,3584461,3761320,0.35196672526218026,0.3354170876181766,26.3,56400,0.6408,39.35812848982735,4826.86,30061,160.56884335185123,False
135,Tennessee,2014,1430117.0,4799476,5061583,0.29797357044810724,0.2825434256437166,25.3,54880,0.7477,38.88763569053147,6544.62,41235,158.71516915241907,False
136,Texas,2014,,16675420,19958733,,,27.8,67630,0.4345,35.81187666713597,26963.09,261232,103.21511147179518,False
137,Vermont,2014,202445.0,495884,504186,0.4082507199264344,0.40152840420003727,34.9,76210,0.9343,41.51416666666667,625.693,9217,67.88466963220137,False
138,Virginia,2014,2194346.0,5962456,6467462,0.36802720221331614,0.3392901264823821,36.7,83050,0.631,38.478978266300274,8315.43,39490,210.57052418333754,False
139,West Virginia,2014,462864.0,1447652,1465232,0.31973430078499526,0.3158980966836651,19.2,49650,0.9294,41.197086403215,1850.57,24038,76.98519011565023,False
140,Wisconsin,2014,2422248.0,4260427,4454970,0.5685458288570606,0.543718139516091,28.4,72910,0.8242,39.20342279962881,5753.2,54158,106.22991986410133,False
141,Wyoming,2014,171153.0,431434,445626,0.3967072599748745,0.3840731914206083,26.6,69910,0.8429,38.20650835532102,583.159,97093,6.006189941602381,False
142,Arizona,2016,2661497.0,4740310,5331034,0.5614605373910145,0.49924592489937225,28.9,71100,0.5554,39.064769483352805,6944.77,113594,61.136767787031005,True
143,Arkansas,2016,1137772.0,2140097,2286625,0.531645060948172,0.4975769966653911,22.4,57170,0.7304,38.934965807833116,2991.82,52035,57.49630056692611,True
144,California,2016,14610509.0,25104844,30201571,0.5819796769101613,0.4837665232712563,32.9,82980,0.3751,37.860489979813956,39149.19,155779,251.3123720141996,True
145,Connecticut,2016,1675955.0,2582761,2821935,0.6489005370609204,0.5939027653011143,38.6,94540,0.6759,40.207757351880176,3579.83,4842,739.3287897562991,True
146,Delaware,2016,445228.0,691720,749872,0.6436535014167583,0.5937386647321142,31.0,72280,0.6295,40.546034837174076,949.989,1949,487.4238070805541,True
147,District of Columbia,2016,312575.0,515248,562329,0.6066496133900569,0.555857869681272,56.8,88390,0.3592,37.764121663563,687.576,61,11271.737704918032,True
148,Florida,2016,9580489.0,14601066,16565588,0.6561499687762523,0.578336790701302,28.6,63730,0.5469,41.6794579030977,20627.24,53625,384.6571561771562,True
149,Hawaii,2016,437664.0,1012860,1120465,0.432107102659795,0.3906092559785446,31.9,89820,0.211,40.20753334310421,1428.89,6423,222.4645804141367,True
150,Illinois,2016,5666118.0,8985443,9866799,0.6305886087085523,0.5742610141343713,34.0,76440,0.618,38.651130395798646,12821.71,55519,230.94274032313263,True
151,Indiana,2016,2807676.0,4849937,5063393,0.5789097879003376,0.5545048547485846,25.6,69850,0.7975,38.50530211151538,6637.9,35826,185.28163903310445,True
152,Kansas,2016,1225667.0,2054025,2192423,0.5967147430045886,0.5590467715399811,32.8,70740,0.7648,38.01022364217253,2912.98,81759,35.628860431267505,True
153,Louisiana,2016,2049531.0,3384435,3571652,0.6055755244228357,0.5738327810212193,23.4,52540,0.5936,38.107626089835556,4681.35,43204,108.3545505045829,True
154,Maine,2016,771892.0,1058372,1078037,0.7293201256269062,0.7160162406299598,30.1,63330,0.9356,42.58123357551399,1332.35,30843,43.19780825470934,True
155,Maryland,2016,2807322.0,4189616,4670900,0.670066660047126,0.6010237855659509,39.3,91850,0.514,38.998821821907285,6007.01,9707,618.8328010713918,True
156,Massachusetts,2016,3378801.0,4948028,5442458,0.6828581002371046,0.6208226136058377,42.7,89990,0.7262,40.02226585091164,6827.28,7800,875.2923076923076,True
157,Missouri,2016,2811549.0,4517925,4710784,0.6223097992994572,0.5968325017661603,28.5,68510,0.7983,39.276483553747035,6091.38,68742,88.61220214715894,True
158,Nevada,2016,1125429.0,1961587,2276281,0.5737339205449465,0.4944156718788234,23.5,69020,0.4986,38.75325214503183,2919.56,109781,26.594401581330104,True
159,New Jersey,2016,3957303.0,6013656,6959892,0.6580527718911757,0.5685868401406229,38.6,85260,0.5573,39.43854063245347,8873.58,7354,1206.6331248300244,True
160,New York,2016,7786881.0,13604645,15557982,0.5723692900476272,0.500507135179871,35.7,76500,0.5558,39.422204302473794,19636.39,47126,416.67847897126853,True
161,Ohio,2016,5607641.0,8736808,9007953,0.6418409332103899,0.6225211210582471,27.5,67220,0.7958,39.64256518925053,11640.06,40861,284.86968013509215,True
162,Oregon,2016,2056310.0,3024174,3244277,0.6799575685790566,0.6338268896274887,32.7,73640,0.7633,40.157379499314985,4093.27,95988,42.643559611618116,True
163,Pennsylvania,2016,,9691160,10108486,,,30.8,75930,0.7727,40.64443941219763,12788.47,44743,285.8205752855195,True
164,Tennessee,2016,2545271.0,4909426,5164969,0.5184457409073892,0.4927950196796922,26.1,63940,0.7443,39.2789863475424,6651.28,41235,161.30180671759427,True
165,Texas,2016,8975000.0,17448910,20671564,0.514358776565413,0.43417130895369116,28.9,72410,0.4252,36.08917040432993,27914.06,261232,106.85543884363325,True
166,Utah,2016,1152369.0,1991885,2144784,0.5785318931564825,0.537289069668554,32.6,84030,0.7875,33.60680825525956,3044.24,82170,37.04807107216746,True
167,Virginia,2016,,6027152,6551390,,,38.1,82750,0.6232,39.0345011075499,8417.65,39490,213.15902760192455,True
168,West Virginia,2016,,1423031,1453201,,,20.8,55230,0.9244,41.526519616096984,1832.44,24038,76.23096763457859,True
169,Wisconsin,2016,,4285071,4495783,,,29.5,74490,0.819,39.72854018103249,5775.17,54158,106.63558477048636,True
170,Wyoming,2016,258788.0,429682,446396,0.6022779637033899,0.579727416912338,27.1,72010,0.8473,38.57850368809273,585.243,97093,6.027653898839257,True
171,Alaska,2018,285009.0,519913,551451,0.5481859464948944,0.5168346779677614,30.2,82450,0.6009,36.9127062473558,736.624,570641,1.2908711431530506,False
